word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
007_01,onze,eleven,OHN-zuh,number,beginner_1,"ONZE sounds like 'owns' - he OWNS eleven things","Numbers 11-15 all end in '-ze'. They're irregular - memorize them.","Portugal uses European spelling: dezasseis not dezesseis (Brazilian).","Like 'own' plus 'zuh'",Onze horas.,Eleven o'clock.,São onze pessoas.,There are eleven people.,11,"doze;dez;nove",1
007_02,doze,twelve,DOH-zuh,number,beginner_1,"DOZE rhymes with 'pose' - a dozen roses in a pose","Twelve = doze. Related to 'dúzia' (dozen).","'Uma dúzia' (a dozen) is commonly used for eggs and pastéis de nata!","Rhymes with 'pose' plus 'uh'",Doze meses.,Twelve months.,Uma dúzia de ovos.,A dozen eggs.,12,"onze;treze;dez",2
007_03,treze,thirteen,TRAY-zuh,number,beginner_1,"TREZE sounds like 'tray' - 13 things on a TRAY","Thirteen - considered unlucky in some cultures.","In Portugal the unlucky number is actually Friday 13th just like English-speaking countries.","Like 'tray' plus 'zuh'",Treze anos.,Thirteen years.,Dia treze de abril.,April thirteenth.,13,"doze;catorze;onze",3
007_04,catorze,fourteen,kah-TOR-zuh,number,beginner_1,"CaTORZE = CAT + TORSO = 14 cats showing torsos","Both 'catorze' and 'quatorze' are correct in Portugal.","Both spellings accepted - 'catorze' more common in European Portuguese.","Some say 'quatorze' - both correct",Catorze dias.,Fourteen days.,Tenho catorze euros.,I have fourteen euros.,14,"treze;quinze;doze",4
007_05,quinze,fifteen,KEEN-zuh,number,beginner_1,"QUINZE sounds like 'KEEN' - keen on 15 things!","The 'qu' sounds like 'k' in Portuguese numbers.","'Daqui a quinze dias' (in two weeks) is very common in Portuguese.","The 'qu' sounds like 'k' here",Quinze minutos.,Fifteen minutes.,Quinze dias é duas semanas.,Fifteen days is two weeks.,15,"catorze;dezasseis;treze",5
007_06,dezasseis,sixteen,deh-zah-SAYSH,number,beginner_2,"DEZA-SEIS = DEZ + SEIS (10+6) - math in Portuguese!","Literally 'ten-six'. European spelling (Brazil: dezesseis).","European Portuguese: dezasseis. Brazilian Portuguese: dezesseis.","Literally 'ten-and-six' - European PT spelling",Dezasseis euros.,Sixteen euros.,Ele tem dezasseis anos.,He is sixteen years old.,16,"quinze;dezassete;catorze",6
007_07,dezassete,seventeen,deh-zah-SET-uh,number,beginner_2,"DEZA-SETE = DEZ + SETE (10+7) - count it out!","Literally 'ten-seven'. Pattern continues for 16-19.","In Portugal if someone says 'às dezassete' they mean 5 PM (17:00 in 24h time).","Literally 'ten-and-seven'",Dezassete pessoas.,Seventeen people.,São dezassete horas.,It's five o'clock (17:00).,17,"dezasseis;dezoito;quinze",7
007_08,dezoito,eighteen,deh-ZOY-too,number,beginner_2,"DEZOITO has OI sound - 'oy!' I'm 18!","Note the 'oi' diphthong - sounds like 'oy'.","18 is the age of majority in Portugal - when you can vote and drink legally.","Literally 'ten-eight' - note the 'oi' sound",Dezoito anos.,Eighteen years.,Já tenho dezoito anos.,I'm already eighteen.,18,"dezassete;dezanove;dezasseis",8
007_09,dezanove,nineteen,deh-zah-NOH-vuh,number,beginner_2,"DEZA-NOVE = DEZ + NOVE (10+9) - almost twenty!","Literally 'ten-nine'. European spelling (Brazil: dezenove).","Portuguese often round up - 'quase vinte' (almost twenty) might mean 18 or 19!","Literally 'ten-nine' - European PT spelling",Dezanove horas.,Nineteen hours (7pm).,Faltam dezanove dias.,Nineteen days left.,19,"dezoito;vinte;dezassete",9
007_10,vinte,twenty,VEEN-tuh,number,beginner_1,"VINTE sounds like 'VEENT' - a VENT has 20 slats!","Base number for twenties. 21 = vinte e um etc.","'Vinte euros' is the most common banknote used in Portugal.","The base for twenties - like 'veent' plus 'uh'",Vinte euros.,Twenty euros.,Tenho vinte anos.,I'm twenty years old.,20,"dezanove;trinta;dezoito",10
